  ip           p            cd           tb           mr           cap
  65.6310      78.0000      13.3900      12.0600      12.8775      84.4000    
  65.6200      79.0000      14.3000      13.9200      13.0400      84.3000    
  65.4160      80.1000      17.5700      15.8200      15.2825      83.8000    
  64.0930      80.9000      16.1400      13.3000      16.3250      82.0000    
  62.5260      81.7000      9.79000      9.39000      14.2620      79.9000    
  61.6830      82.5000      8.49000      8.16000      12.7100      78.6000    
  61.0750      82.6000      8.65000      8.65000      12.1925      77.7000    
  61.4060      83.2000      9.91000      10.2400      12.5600      78.0000    
  62.4300      83.9000      11.2900      11.5200      13.1975      79.2000    
  63.1150      84.7000      12.9400      12.4900      13.7920      79.9000    
  64.2510      85.6000      15.6800      14.1500      14.2050      81.2000    
  64.6060      86.4000      18.6500      14.8800      14.7900      81.4000    
  64.2260      87.2000      17.1900      14.0800      14.9040      80.8000    
  63.9630      88.0000      16.1400      14.5700      15.1325      80.3000    
  64.2920      88.6000      14.4300      13.7100      15.4000      80.5000    
  63.9610      89.1000      15.0800      14.3200      15.5800      79.9000    
  64.4370      89.7000      18.2700      16.2000      16.4020      80.4000    
  64.7380      90.5000      16.9000      14.8600      16.6950      80.6000    
  65.2170      91.5000      17.7600      15.7200      16.8320      81.0000    
  65.1410      92.2000      17.9600      16.7200      17.2850      80.7000    
  64.7110      93.1000      16.8400      16.5200      18.1600      80.0000    
  64.2310      93.4000      15.3900      15.3800      18.4540      79.2000    
  63.5050      93.8000      12.4800      12.4100      17.8250      78.1000    
  62.7720      94.1000      12.4900      12.8500      16.9225      77.0000    
  61.6950      94.4000      13.5100      14.3200      17.3960      75.5000    
  62.8770      94.7000      15.0000      14.7300      17.5975      76.8000    
  62.4090      94.7000      14.2100      13.9500      17.1600      76.0000    
  61.8800      95.0000      14.4400      13.9800      16.8920      75.2000    
  61.4050      95.9000      13.8000      13.3400      16.6775      74.5000    
  61.1660      97.0000      14.4600      14.0700      16.6975      74.1000    
  60.9950      97.5000      13.4400      13.2400      16.8160      73.7000    
  60.4770      97.7000      10.6100      11.4300      16.2700      73.0000    
  60.2480      97.7000      10.6600      10.8500      15.4300      72.6000    
  59.6450      98.1000      9.51000      9.32000      14.6080      71.8000    
  59.4530      98.0000      8.95000      9.16000      13.8250      71.5000    
  58.9310      97.7000      8.66000      8.91000      13.6240      70.8000    
  60.0530      97.9000      8.36000      8.62000      13.2475      72.1000    
  59.7510      98.0000      8.54000      8.92000      13.0425      71.6000    
  60.1930      98.1000      8.69000      9.04000      12.8000      72.1000    
  61.0050      98.8000      8.63000      8.98000      12.7820      73.1000    
  61.4350      99.2000      8.49000      8.90000      12.6325      73.6000    
  61.7980      99.4000      9.20000      9.66000      12.8700      74.0000    
  62.7520      99.8000      9.50000      10.2000      13.4220      75.1000    
  63.4390      100.100      9.77000      10.5300      13.8100      75.9000    
  64.3690      100.400      9.39000      10.1600      13.7260      76.9000    
  64.8420      100.800      9.18000      9.81000      13.5350      77.4000    
  65.0790      101.100      9.36000      9.94000      13.4350      77.7000    
  65.3980      101.400      9.69000      10.1100      13.4200      78.0000    
  66.8020      102.100      9.42000      9.90000      13.3675      79.6000    
  66.9550      102.600      9.54000      10.0400      13.2325      79.7000    
  67.4430      102.900      10.0800      10.5900      13.3860      80.2000    
  67.8410      103.300      10.4100      10.9000      13.6525      80.5000    
  68.1880      103.500      11.1100      11.6600      13.9425      80.8000    
  68.4240      103.700      11.3400      12.0800      14.4160      81.0000    
  68.6420      104.100      11.5600      12.0300      14.6675      81.1000    
  68.6820      104.400      11.4700      11.8200      14.4700      81.0000    
  68.4880      104.700      11.2900      11.5800      14.3500      80.6000    
  68.4450      105.100      10.3800      10.9000      14.1300      80.4000    
  68.6650      105.300      9.18000      9.82000      13.6380      80.5000    
  68.6790      105.500      8.60000      9.33000      13.1800      80.3000    
  68.4960      105.700      8.14000      9.02000      13.0750      79.9000    
  68.8390      106.300      8.69000      9.29000      12.9200      80.2000    
  68.8400      106.800      9.02000      9.86000      13.1700      80.0000    
  68.8160      107.000      8.49000      9.14000      13.1950      79.8000    
  68.8530      107.200      7.92000      8.46000      12.9140      79.7000    
  68.8150      107.500      7.44000      7.80000      12.2150      79.4000    
  68.4270      107.700      7.64000      7.86000      12.0325      78.8000    
